Actor Name,City of Birth
Sidney Blackmer,Salisbury
Randy Boone,Fayetteville
Doug Brochu,Fayetteville
Ben Browder,Charlotte
Jim David,Asheville
Jennifer Ehle,Winston-Salem
Mike Evans,Salisbury
Penny Fuller,Durham
Zach Galifianakis,Wilkesboro
Ava Gardner,Smithfield
Kathryn Grayson,Winston-Salem
Pam Grier,Winston-Salem
Rhoda Griffis,Raleigh
Andy Griffith,Mount Airy
George Grizzard,Roanoke Rapids
Julianna Guill,Winston-Salem
Jester Hairston,Belews Creek
Michael C. Hall,Raleigh
Murray Hamilton,Washington
Shirley Hemphill,Asheville
Jackee Harry,Winston-Salem
Ed Hinton,Wilmington
Edwin Hodge,Jacksonville
Laurel Holloman,Chapel Hill
Brian Huskey,Charlotte
Earle Hyman,Rocky Mount
Anne Jeffreys,Goldsboro
Burgess Jenkins,Winston-Salem
Ken Jeong,Greensboro
Darwin Joston,Winston-Salem
Allyn King, 
Sharon Lawrence,Charlotte / Raleigh
Beth Leavel,Raleigh
Chyler Leigh,Charlotte
Barbara Loden,Marion
James McEachin,Rennert
Jane McNeill,Whiteville
Robert Duncan McNeill,Raleigh
Eddie Mills,Kannapolis
Julianne Moore,Fort Bragg
Anita Morris,Durham
Laura Moss,Kings Mountain
Mike Muscat,Fort Bragg
John Haymes Newton,Chapel Hill
Lee Norris,Greenville
Emily Proctor,Raleigh
Jim Rash,Charlotte
Nina Repeta,Shelby
Tequan Richmond,Burlington
Britt Robertson,Charlotte
Marcy Rylan,Providence Township
Christoph Sanders,Arden / Hendersonville
Paul Schneider,Asheville
Judith Scott,Fort Bragg
Nick Searcy,Cullowhee
Matthew Settle,Hickory
J. B. Smoove,Plymouth
Margo Stilley,Bear Creek
Skeet Ulrich,Concord
Liz Vassey,Raleigh
Reginald VelJohnson,Raleigh
Ben Vereen,Laurinburg
Jill Wagner,Winston-Salem
Gregory Walcott,Wendell
James Harvey Ward,Greenville
Mary Elizabeth Winstead,Rocky Mount
Evan Rachel Wood,Raleigh
Brad Yoder,High Point
Bellamy Young,Asheville
